Epoca,Longitud,Latitud
2017-03-08 23:08:00,-89.45073918199326,57.152816823564784
2017-03-08 23:08:01,-89.48408416552125,57.21218824292512
2017-03-08 23:08:02,-89.51751794150846,57.2715494170017
2017-03-08 23:08:03,-89.55104734014405,57.3309071759837
2017-03-08 23:08:04,-89.58467236142803,57.39025468968194
2017-03-08 23:08:05,-89.61839300536039,57.44959537319101
2017-03-08 23:08:06,-89.65221610213028,57.50893605670008
2017-03-08 23:08:07,-89.6861279913594,57.568263079830814
2017-03-08 23:08:08,-89.72013550323689,57.62758327277237
2017-03-08 23:08:09,-89.75424546795193,57.68689663552476
2017-03-08 23:08:10,-89.78845105531536,57.74620316808798
2017-03-08 23:08:11,-89.82275909551633,57.8055097006512
2017-03-08 23:08:12,-89.85716275836569,57.86480257283608
2017-03-08 23:08:13,-89.8916688740526,57.924088614831795
2017-03-08 23:08:14,-89.92627061238788,57.983367826638336
2017-03-08 23:08:15,-89.96097480356072,58.042640208255705
2017-03-08 23:08:16,-89.99578144757109,58.10189892949474
2017-03-08 23:08:17,-90.03069054441903,58.16115765073377
2017-03-08 23:08:18,-90.06570209410452,58.22040954178363
2017-03-08 23:08:19,-90.10082292681672,58.27965460264432
2017-03-08 23:08:20,-90.13603938217732,58.33888600312667
2017-03-08 23:08:21,-90.17135829037545,58.39811740360902
2017-03-08 23:08:22,-90.2067864816003,58.45733514371303
2017-03-08 23:08:23,-90.24232395585187,58.51654605362787
2017-03-08 23:08:24,-90.27796388294101,58.575750133353544
2017-03-08 23:08:25,-90.31370626286768,58.63494738289004
2017-03-08 23:08:26,-90.34956475601025,58.69413780223737
2017-03-08 23:08:27,-90.38552570199036,58.75332139139553
2017-03-08 23:08:28,-90.4215959309972,58.812491320175354
2017-03-08 23:08:29,-90.45776861284159,58.87166124895517
2017-03-08 23:08:30,-90.49405740790186,58.93081751735665
2017-03-08 23:08:31,-90.53045548598887,58.98996695556897
2017-03-08 23:08:32,-90.56696967729175,59.049109563592104
2017-03-08 23:08:33,-90.60359315162137,59.10824534142608
2017-03-08 23:08:34,-90.64032590897769,59.16737428907088
2017-03-08 23:08:35,-90.67716794936074,59.226489576337336
2017-03-08 23:08:36,-90.71412610295968,59.28559803341463
2017-03-08 23:08:37,-90.75120036977451,59.344699660302744
2017-03-08 23:08:38,-90.78839074980523,59.403794457001695
2017-03-08 23:08:39,-90.82569724305183,59.46288242351148
2017-03-08 23:08:40,-90.86311301932517,59.521956729642916
2017-03-08 23:08:41,-90.90065173900355,59.58102420558519
2017-03-08 23:08:42,-90.93830657189784,59.64008485133829
2017-03-08 23:08:43,-90.97607751800801,59.69913866690222
2017-03-08 23:08:44,-91.01397140752324,59.75817882208781
2017-03-08 23:08:45,-91.05198141025436,59.8172189772734
2017-03-08 23:08:46,-91.09011435639054,59.876238641891476
2017-03-08 23:08:47,-91.12836341574261,59.93525830650956
2017-03-08 23:08:48,-91.16673541849974,59.9942643107493
2017-03-08 23:08:49,-91.20523036466193,60.05326348479987
2017-03-08 23:08:50,-91.24384825422919,60.11225582866127
2017-03-08 23:08:51,-91.28259591739067,60.1712413423335
2017-03-08 23:08:52,-91.32145969376805,60.23021319562739
2017-03-08 23:08:53,-91.36045324373964,60.28917821873211
2017-03-08 23:08:54,-91.39956973711631,60.34812958145849
2017-03-08 23:08:55,-91.4388160040872,60.4070741139957
2017-03-08 23:08:56,-91.47818521446315,60.46601181634374
2017-03-08 23:08:57,-91.51768419843334,60.52493585831344
2017-03-08 23:08:58,-91.55731295599776,60.58385307009397
2017-03-08 23:08:59,-91.5970714871564,60.64276345168533
2017-03-08 23:09:00,-91.63695979190928,60.70166017289835
2017-03-08 23:09:01,-91.67697787025638,60.7605500639222
2017-03-08 23:09:02,-91.71713255238689,60.81943312475688
2017-03-08 23:09:03,-91.75741700811162,60.87830252521322
2017-03-08 23:09:04,-91.79783123743059,60.93716509548039
2017-03-08 23:09:05,-91.83838207053294,60.99601400536922
2017-03-08 23:09:06,-91.87906950741872,61.05485608506888
2017-03-08 23:09:07,-91.91989354808788,61.1136845043902
2017-03-08 23:09:08,-91.96085419254045,61.17250609352235
2017-03-08 23:09:09,-92.00195144077641,61.23132085246533
2017-03-08 23:09:10,-92.04318529279578,61.29012195102997
2017-03-08 23:09:11,-92.08456257878771,61.34890938921627
2017-03-08 23:09:12,-92.12607646856306,61.407689997213396
2017-03-08 23:09:13,-92.16773379231097,61.46646377502136
2017-03-08 23:09:14,-92.20952771984227,61.525223892450974
2017-03-08 23:09:15,-92.25147191153532,61.58397717969143
2017-03-08 23:09:16,-92.29355270701177,61.64271680655354
2017-03-08 23:09:17,-92.33577693646079,61.70144277303731
2017-03-08 23:09:18,-92.37815143007154,61.760161909331906
2017-03-08 23:09:19,-92.42066935765487,61.81887421543733
2017-03-08 23:09:20,-92.46333754939994,61.87756603097525
2017-03-08 23:09:21,-92.50614917511759,61.93625784651317
2017-03-08 23:09:22,-92.54911789518613,61.994929171483584
2017-03-08 23:09:23,-92.59223004922725,62.053600496453996
2017-03-08 23:09:24,-92.63549246743011,62.11225133085689
2017-03-08 23:09:25,-92.67890514979472,62.170895335070625
2017-03-08 23:09:26,-92.72247492651023,62.229525678906015
2017-03-08 23:09:27,-92.76619496738748,62.28814919255223
2017-03-08 23:09:28,-92.81007210261564,62.346759045820114
2017-03-08 23:09:29,-92.85409950200554,62.40535523870965
2017-03-08 23:09:30,-92.89828399574635,62.46394460141002
2017-03-08 23:09:31,-92.94263241402724,62.52252030373205
