Epoca,Longitud,"Lon (deg)" – STK,Latitud,"Lat (deg)" – STK,DIF LON 200 m,DIF LAT 10 km
2017-03-08 01:02:00,'68,135','68,132','-38,855','-39,025','-0,0030','-0,1702'
2017-03-08 01:03:00,'66,993','66,991','-42,466','-42,64','-0,0024','-0,1737'
2017-03-08 01:04:00,'65,743','65,74','-46,069','-46,243','-0,0029','-0,1735'
2017-03-08 01:05:00,'64,353','64,35','-49,662','-49,834','-0,0028','-0,1718'
2017-03-08 01:06:00,'62,781','62,779','-53,241','-53,408','-0,0022','-0,1665'
2017-03-08 01:07:00,'60,969','60,966','-56,803','-56,962','-0,0029','-0,1590'
2017-03-08 01:08:00,'58,830','58,827','-60,341','-60,49','-0,0026','-0,1495'
2017-03-08 01:09:00,'56,233','56,231','-63,844','-63,982','-0,0020','-0,1376'
2017-03-08 01:10:00,'52,974','52,972','-67,299','-67,423','-0,0019','-0,1239'
2017-03-08 01:11:00,'48,714','48,711','-70,678','-70,787','-0,0028','-0,1086'
2017-03-08 01:12:00,'42,867','42,865','-73,935','-74,027','-0,0025','-0,0921'
2017-03-08 01:13:00,'34,386','34,384','-76,976','-77,052','-0,0022','-0,0758'
2017-03-08 01:14:00,'21,444','21,442','-79,612','-79,673','-0,0021','-0,0612'
2017-03-08 01:15:00,'1,724','1,722','-81,458','-81,509','-0,0017','-0,0513'
2017-03-08 01:16:00,'-23,945','-23,947','-81,951','-81,999','-0,0020','-0,0481'
2017-03-08 01:17:00,'-47,886','-47,888','-80,870','-80,924','-0,0023','-0,0543'
2017-03-08 01:18:00,'-64,755','-64,757','-78,656','-78,723','-0,0018','-0,0674'
2017-03-08 01:19:00,'-75,690','-75,692','-75,830','-75,913','-0,0024','-0,0829'
2017-03-08 01:20:00,'-82,980','-82,983','-72,690','-72,789','-0,0028','-0,0990'
2017-03-08 01:21:00,'-88,118','-88,12','-69,378','-69,493','-0,0023','-0,1146'
2017-03-08 01:22:00,'-91,937','-91,939','-65,966','-66,095','-0,0025','-0,1289'
2017-03-08 01:23:00,'-94,907','-94,91','-62,490','-62,633','-0,0028','-0,1425'
2017-03-08 01:24:00,'-97,307','-97,309','-58,973','-59,126','-0,0022','-0,1533'
2017-03-08 01:25:00,'-99,306','-99,309','-55,426','-55,588','-0,0025','-0,1624'
2017-03-08 01:26:00,'-101,017','-101,019','-51,857','-52,026','-0,0022','-0,1687'
2017-03-08 01:27:00,'-102,512','-102,514','-48,273','-48,446','-0,0021','-0,1728'
2017-03-08 01:28:00,'-103,844','-103,846','-44,677','-44,851','-0,0025','-0,1741'
2017-03-08 01:29:00,'-105,049','-105,051','-41,071','-41,244','-0,0024','-0,1728'
2017-03-08 01:30:00,'-106,154','-106,157','-37,458','-37,626','-0,0028','-0,1680'
2017-03-08 01:31:00,'-107,181','-107,183','-33,839',-34,'-0,0021','-0,1614'
2017-03-08 01:32:00,'-108,144','-108,147','-30,214','-30,366','-0,0026','-0,1518'
2017-03-08 01:33:00,'-109,057','-109,06','-26,586','-26,725','-0,0027','-0,1393'
2017-03-08 01:34:00,'-109,929','-109,932','-22,954','-23,079','-0,0025','-0,1253'
2017-03-08 01:35:00,'-110,769','-110,772','-19,319','-19,428','-0,0029','-0,1092'
2017-03-08 01:36:00,'-111,583','-111,586','-15,682','-15,773','-0,0028','-0,0914'
2017-03-08 01:37:00,'-112,378','-112,38','-12,042','-12,114','-0,0024','-0,0716'
2017-03-08 01:38:00,'-113,157','-113,16','-8,402','-8,452','-0,0026','-0,0505'
2017-03-08 01:39:00,'-113,928','-113,93','-4,759','-4,788','-0,0025','-0,0286'
2017-03-08 01:40:00,'-114,692','-114,695','-1,116','-1,123','-0,0028','-0,0066'
2017-03-08 01:41:00,'-115,456','-115,458','2,527','2,543','-0,0023','0,0156'
2017-03-08 01:42:00,'-116,222','-116,225','6,171','6,209','-0,0028','0,0375'
2017-03-08 01:43:00,'-116,996','-116,998','9,816','9,874','-0,0021','0,0584'
2017-03-08 01:44:00,'-117,781','-117,784','13,459','13,539','-0,0027','0,0796'
2017-03-08 01:45:00,'-118,583','-118,586','17,103','17,201','-0,0026','0,0984'
2017-03-08 01:46:00,'-119,408','-119,41','20,745','20,86','-0,0023','0,1153'
2017-03-08 01:47:00,'-120,260','-120,263','24,385','24,517','-0,0026','0,1317'
2017-03-08 01:48:00,'-121,149','-121,151','28,024','28,169','-0,0021','0,1452'
2017-03-08 01:49:00,'-122,082','-122,085','31,660','31,816','-0,0027','0,1564'
2017-03-08 01:50:00,'-123,071','-123,074','35,292','35,456','-0,0026','0,1642'
2017-03-08 01:51:00,'-124,130','-124,133','38,920','39,09','-0,0028','0,1705'
2017-03-08 01:52:00,'-125,276','-125,279','42,541','42,715','-0,0028','0,1736'
2017-03-08 01:53:00,'-126,533','-126,535','46,156','46,33','-0,0023','0,1742'
2017-03-08 01:54:00,'-127,931','-127,933','49,760','49,932','-0,0022','0,1716'
2017-03-08 01:55:00,'-129,513','-129,516','53,352','53,519','-0,0027','0,1669'
2017-03-08 01:56:00,'-131,341','-131,343','56,927','57,086','-0,0022','0,1594'
2017-03-08 01:57:00,'-133,502','-133,504','60,477','60,626','-0,0021','0,1488'
2017-03-08 01:58:00,'-136,131','-136,133','63,994','64,131','-0,0022','0,1371'
2017-03-08 01:59:00,'-139,440','-139,442','67,461','67,584','-0,0023','0,1232'
2017-03-08 02:00:00,'-143,780','-143,782','70,850','70,958','-0,0018','0,1076'
2017-03-08 02:01:00,'-149,763','-149,765','74,113','74,204','-0,0021','0,0910'
2017-03-08 02:02:00,'-158,486','-158,488','77,151','77,226','-0,0016','0,0748'
2017-03-08 02:03:00,'-171,855','-171,857','79,763','79,824','-0,0019','0,0611'
2017-03-08 02:04:00,'167,822','167,82','81,543','81,594','-0,0022','0,0508'
2017-03-08 02:05:00,'141,846','141,844','81,922','81,97','-0,0017','0,0480'
2017-03-08 02:06:00,'118,260','118,258','80,726','80,781','-0,0019','0,0551'
2017-03-08 02:07:00,'101,892','101,889','78,434','78,502','-0,0028','0,0684'
2017-03-08 02:08:00,'91,307','91,305','75,558','75,642','-0,0024','0,0840'
2017-03-08 02:09:00,'84,232','84,23','72,383','72,483','-0,0021','0,1004'
2017-03-08 02:10:00,'79,229','79,226','69,043','69,16','-0,0028','0,1167'
2017-03-08 02:11:00,'75,497','75,495','65,607','65,738','-0,0022','0,1306'
2017-03-08 02:12:00,'72,586','72,583','62,111','62,255','-0,0028','0,1443'
2017-03-08 02:13:00,'70,228','70,226','58,574','58,729','-0,0022','0,1554'
2017-03-08 02:14:00,'68,259','68,257','55,009','55,172','-0,0022','0,1634'
2017-03-08 02:15:00,'66,572','66,569','51,424','51,593','-0,0030','0,1695'
2017-03-08 02:16:00,'65,095','65,092','47,824','47,997','-0,0026','0,1734'
2017-03-08 02:17:00,'63,777','63,774','44,213','44,387','-0,0029','0,1744'
2017-03-08 02:18:00,'62,583','62,58','40,593','40,766','-0,0029','0,1730'
2017-03-08 02:19:00,'61,486','61,484','36,967','37,135','-0,0021','0,1682'
2017-03-08 02:20:00,'60,467','60,464','33,336','33,496','-0,0026','0,1605'
2017-03-08 02:21:00,'59,509','59,506','29,700','29,851','-0,0028','0,1508'
2017-03-08 02:22:00,'58,601','58,598','26,062','26,2','-0,0026','0,1382'
2017-03-08 02:23:00,'57,732','57,73','22,421','22,544','-0,0022','0,1231'
2017-03-08 02:24:00,'56,896','56,893','18,778','18,885','-0,0026','0,1067'
2017-03-08 02:25:00,'56,084','56,081','15,134','15,223','-0,0028','0,0886'
2017-03-08 02:26:00,'55,291','55,289','11,490','11,558','-0,0022','0,0684'
2017-03-08 02:27:00,'54,512','54,51','7,844','7,892','-0,0025','0,0477'
2017-03-08 02:28:00,'53,743','53,741','4,199','4,225','-0,0020','0,0261'
2017-03-08 02:29:00,'52,979','52,976','0,554','0,557','-0,0025','0,0033'
2017-03-08 02:30:00,'52,215','52,212','-3,091','-3,11','-0,0027','-0,0191'
2017-03-08 02:31:00,'51,447','51,445','-6,735','-6,775','-0,0025','-0,0402'
2017-03-08 02:32:00,'50,672','50,67','-10,377','-10,439','-0,0024','-0,0615'
2017-03-08 02:33:00,'49,885','49,883','-14,019','-14,101','-0,0021','-0,0823'
2017-03-08 02:34:00,'49,081','49,078','-17,658','-17,759','-0,0026','-0,1009'
2017-03-08 02:35:00,'48,253','48,251','-21,295','-21,413','-0,0022','-0,1177'
2017-03-08 02:36:00,'47,397','47,394','-24,930','-25,063','-0,0026','-0,1332'
2017-03-08 02:37:00,'46,503','46,501','-28,561','-28,708','-0,0022','-0,1470'
2017-03-08 02:38:00,'45,564','45,561','-32,188','-32,346','-0,0029','-0,1575'
2017-03-08 02:39:00,'44,567','44,565','-35,811','-35,977','-0,0025','-0,1657'
2017-03-08 02:40:00,'43,500','43,497','-39,428','-39,599','-0,0028','-0,1705'
2017-03-08 02:41:00,'42,343','42,34','-43,039','-43,212','-0,0026','-0,1733'
2017-03-08 02:42:00,'41,072','41,07','-46,640','-46,814','-0,0022','-0,1736'
2017-03-08 02:43:00,'39,656','39,654','-50,231','-50,402','-0,0025','-0,1708'
2017-03-08 02:44:00,'38,051','38,049','-53,808','-53,974','-0,0022','-0,1660'
2017-03-08 02:45:00,'36,194','36,191','-57,366','-57,524','-0,0026','-0,1578'
2017-03-08 02:46:00,'33,992','33,99','-60,899','-61,047','-0,0020','-0,1479'
2017-03-08 02:47:00,'31,306','31,304','-64,396','-64,532','-0,0025','-0,1356'
2017-03-08 02:48:00,'27,916','27,913','-67,841','-67,962','-0,0027','-0,1207'
2017-03-08 02:49:00,'23,452','23,449','-71,205','-71,311','-0,0027','-0,1059'
2017-03-08 02:50:00,'17,273','17,271','-74,435','-74,525','-0,0024','-0,0897'
