Epoca,Longitud,Latitud
2017-03-08 00:00:00,-88.57414587372465,-8.979412352742106
2017-03-08 00:01:00,-89.34549279707252,-5.337485050965491
2017-03-08 00:02:00,-90.11075402186992,-1.6945473080785378
2017-03-08 00:03:00,-90.87415743521308,1.9490958652836308
2017-03-08 00:04:00,-91.6398694524957,5.593139885372715
2017-03-08 00:05:00,-92.41213845138152,9.237273338251244
2017-03-08 00:06:00,-93.19541088502025,12.881166453848351
2017-03-08 00:07:00,-93.99452252734423,16.524464489214022
2017-03-08 00:08:00,-94.81486239760861,20.166765316960873
2017-03-08 00:09:00,-95.66257083587723,23.80761985215097
2017-03-08 00:10:00,-96.54488101248114,27.446491924934474
2017-03-08 00:11:00,-97.47045360728791,31.08274632771857
2017-03-08 00:12:00,-98.44990273426774,34.71561124912705
2017-03-08 00:13:00,-99.49652677173465,38.34411509475047
2017-03-08 00:14:00,-100.62730556996527,41.96702160034907
2017-03-08 00:15:00,-101.86442358338384,45.58272567146789
2017-03-08 00:16:00,-103.23753749336652,49.18906896832921
2017-03-08 00:17:00,-104.78727326509656,52.78310084921158
2017-03-08 00:18:00,-106.5708610536295,56.36063782324837
2017-03-08 00:19:00,-108.67149939324526,59.91556687113241
2017-03-08 00:20:00,-111.21452908540275,63.43857844502499
2017-03-08 00:21:00,-114.39668689895501,66.91481005329214
2017-03-08 00:22:00,-118.54133447977796,70.3192290526258
2017-03-08 00:23:00,-124.20629337738653,73.60679717563886
2017-03-08 00:24:00,-132.3916877013782,76.6903816990895
2017-03-08 00:25:00,-144.85952867269782,79.39035547799554
2017-03-08 00:26:00,-163.98867555661244,81.3399373539273
2017-03-08 00:27:00,170.5092522515485,81.97222845596289
2017-03-08 00:28:00,146.00154996230228,81.00493706570569
2017-03-08 00:29:00,128.4971138366369,78.8467475521434
2017-03-08 00:30:00,117.16430004121169,76.03949882213314
2017-03-08 00:31:00,109.64947319936437,72.8999955399476
2017-03-08 00:32:00,104.38296021717765,69.58100854675247
2017-03-08 00:33:00,100.48613239001028,66.1574855083103
2017-03-08 00:34:00,97.465877380544,62.66880929537538
2017-03-08 00:35:00,95.03336014915732,59.13719168312859
2017-03-08 00:36:00,93.01099577742991,55.5759856913973
2017-03-08 00:37:00,91.28457667224997,51.993664169846916
2017-03-08 00:38:00,89.7776661866159,48.39583128869144
2017-03-08 00:39:00,88.43729620351426,44.786356350095666
2017-03-08 00:40:00,87.22563430513235,41.16799533538971
2017-03-08 00:41:00,86.11490894230488,37.542766565473315
2017-03-08 00:42:00,85.08424022673911,33.912193172531374
2017-03-08 00:43:00,84.1175430629397,30.27744311891197
2017-03-08 00:44:00,83.20219526132044,26.639445310342232
2017-03-08 00:45:00,82.32806082115304,22.99894423744168
2017-03-08 00:46:00,81.4868274022176,19.35655461723562
2017-03-08 00:47:00,80.67153504174985,15.712795544100974
2017-03-08 00:48:00,79.87621415441522,12.068111834107436
2017-03-08 00:49:00,79.09561915493114,8.42289707690593
2017-03-08 00:50:00,78.3250167222028,4.777506015446472
2017-03-08 00:51:00,77.56000821440469,1.1322680996348111
2017-03-08 00:52:00,76.79637257462976,-2.5125013078884693
2017-03-08 00:53:00,76.02993655729512,-6.156493461228544
2017-03-08 00:54:00,75.25644495454785,-9.799395345622354
2017-03-08 00:55:00,74.4714035019141,-13.440880819537034
2017-03-08 00:56:00,73.66992861413729,-17.08059727445668
2017-03-08 00:57:00,72.84656980025976,-20.71815795091954
2017-03-08 00:58:00,71.99507743719096,-24.353118032855917
2017-03-08 00:59:00,71.10808175081641,-27.984961840983477
2017-03-08 01:00:00,70.1767581367285,-31.613066120540456
2017-03-08 01:01:00,69.19025342433605,-35.23667613562357
2017-03-08 01:02:00,68.13495504662323,-38.854828829559835
2017-03-08 01:03:00,66.99343236082817,-42.46630501358242
2017-03-08 01:04:00,65.74287936531219,-46.06949276304719
2017-03-08 01:05:00,64.35276511448535,-49.6622166627035
2017-03-08 01:06:00,62.781159077032925,-53.2414816746003
2017-03-08 01:07:00,60.96886400341842,-56.80301551541175
2017-03-08 01:08:00,58.829607774235406,-60.340527580912266
2017-03-08 01:09:00,56.233025983890435,-63.844373643993784
2017-03-08 01:10:00,52.97389193839213,-67.29908332618623
2017-03-08 01:11:00,48.71379708512304,-70.67842187088759
2017-03-08 01:12:00,42.8674795895777,-73.9349126331771
2017-03-08 01:13:00,34.38615707451148,-76.9762319460437
2017-03-08 01:14:00,21.4441148521381,-79.6118243618332
2017-03-08 01:15:00,1.7237449793981672,-81.45768298502915
2017-03-08 01:16:00,-23.94504325825163,-81.95091826575245
2017-03-08 01:17:00,-47.88568445958318,-80.86969932013943
2017-03-08 01:18:00,-64.75516570943665,-78.65561836859892
2017-03-08 01:19:00,-75.6896292120884,-75.83009888255889
2017-03-08 01:20:00,-82.98021411329503,-72.68996722296971
2017-03-08 01:21:00,-88.11771165224937,-69.37839781521322
2017-03-08 01:22:00,-91.93653188890603,-65.96609677757738
2017-03-08 01:23:00,-94.90719289480884,-62.49045256557884
2017-03-08 01:24:00,-97.30677495401773,-58.972693407158005
2017-03-08 01:25:00,-99.30645626751154,-55.42559858625196
2017-03-08 01:26:00,-101.01675612625023,-51.85729602797303
2017-03-08 01:27:00,-102.51191868651188,-48.27317816667093
2017-03-08 01:28:00,-103.84353236709755,-44.67694696487582
2017-03-08 01:29:00,-105.04855532160623,-41.071238875607314
2017-03-08 01:30:00,-106.15416487274537,-37.45797318202219
2017-03-08 01:31:00,-107.18085841821417,-33.83859105403532
